City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Sinnamary,GF,2021-05-29 19:17:07,5.3833,-52.95,81.1,81,80,10.16
207,Losal,IN,2021-05-29 19:17:07,27.4,74.9167,96.71,23,98,10.25
208,Kavieng,PG,2021-05-29 19:17:08,-2.5744,150.7967,81.72,81,93,16.06
209,Lorengau,PG,2021-05-29 19:17:08,-2.0226,147.2712,81.99,79,32,11.65
210,Codrington,AU,2021-05-29 19:17:08,-38.2667,141.9667,39.9,94,3,6.49
211,Souillac,MU,2021-05-29 19:17:09,-20.5167,57.5167,75.58,94,40,6.44
212,Ipixuna,BR,2021-05-29 19:17:09,-1.7625,-48.8043,87.75,71,97,3.02
213,Coquimbo,CL,2021-05-29 19:17:09,-29.9533,-71.3436,62.33,72,0,9.71
214,Ponta Delgada,PT,2021-05-29 19:17:10,37.7333,-25.6667,66.92,68,40,10.36
215,Taldan,RU,2021-05-29 19:17:10,53.6667,124.8,37.87,96,10,4.09
216,Inhambane,MZ,2021-05-29 19:17:10,-23.865,35.3833,68.68,83,0,5.73
217,Kedrovyy,RU,2021-05-29 19:17:10,56.1667,91.8167,32.41,71,63,2.93
218,Svetlogorsk,BY,2021-05-29 19:17:11,52.6333,29.7333,53.22,93,100,7.65
219,Dolores,AR,2021-05-29 19:17:11,-36.3132,-57.6792,50.76,47,6,14.45
220,Stromness,GB,2021-05-29 19:17:11,58.965,-3.296,48.16,87,48,1.25
221,Iqaluit,CA,2021-05-29 19:17:12,63.7506,-68.5145,29.93,74,90,21.85
222,Monrovia,LR,2021-05-29 19:16:26,6.3005,-10.7969,80.37,84,100,8.59
223,Itarema,BR,2021-05-29 19:17:12,-2.9248,-39.9167,82.99,74,100,13.69
224,Poum,NC,2021-05-29 19:17:12,-20.2333,164.0167,70.86,61,74,18.95
225,Half Moon Bay,US,2021-05-29 19:13:45,37.4636,-122.4286,73.51,77,90,9.22
226,Folldal,NO,2021-05-29 19:17:13,62.1325,9.9968,60.58,46,3,3.67
227,Asau,RO,2021-05-29 19:17:13,46.4333,26.4,57.4,93,93,0.6
228,Komsomolskiy,UZ,2021-05-29 19:17:13,40.4272,71.7189,78.22,27,52,6.91
229,Young,UY,2021-05-29 19:17:14,-32.6833,-57.6333,58.23,48,0,13.8
230,Norman Wells,CA,2021-05-29 19:17:14,65.282,-126.8329,37.44,81,90,8.05
231,Blackwater,AU,2021-05-29 19:17:14,-23.5833,148.8833,53.47,68,76,6.73
232,Lavrentiya,RU,2021-05-29 19:17:15,65.5833,-171.0,31.05,81,8,9.66
233,Japura,ID,2021-05-29 19:17:15,-0.3167,102.35,75.76,90,100,2.51
234,Wakkanai,JP,2021-05-29 19:17:15,45.4094,141.6739,43.25,96,100,22.17
235,Tres Barras,BR,2021-05-29 19:17:16,-26.1064,-50.3222,74.23,64,0,5.84
236,Fairbanks,US,2021-05-29 19:15:02,64.8378,-147.7164,49.1,47,75,11.5
237,Cravo Norte,CO,2021-05-29 19:17:16,6.3017,-70.2041,82.99,74,100,7.87
238,Bengkulu,ID,2021-05-29 19:17:16,-3.8004,102.2655,75.33,86,100,2.57
239,Port Hardy,CA,2021-05-29 19:15:37,50.6996,-127.4199,51.98,82,40,4.61
240,Anadyr,RU,2021-05-29 19:17:17,64.75,177.4833,43.3,56,0,11.01
241,Sijunjung,ID,2021-05-29 19:17:17,-0.6876,100.9537,72.5,94,100,1.59
242,Porto Novo,BJ,2021-05-29 19:17:17,6.4965,2.6036,84.02,77,100,7.9
243,La Plata,AR,2021-05-29 19:16:03,-34.9215,-57.9545,57.0,42,0,13.56
244,Teya,RU,2021-05-29 19:17:18,60.3778,92.6267,33.87,95,100,7.09
245,Los Llanos De Aridane,ES,2021-05-29 19:17:18,28.6585,-17.9182,65.95,81,20,11.65
246,Korla,CN,2021-05-29 19:15:20,41.7597,86.1469,76.03,31,100,20.58
247,Changji,CN,2021-05-29 19:17:19,44.0167,87.3167,72.39,43,0,8.7
248,Eseka,CM,2021-05-29 19:17:19,3.65,10.7667,74.61,98,99,1.72
249,Uzyn,UA,2021-05-29 19:17:20,49.8262,30.4149,60.17,94,41,7.83
250,Nicoya,CR,2021-05-29 19:17:20,10.1483,-85.452,85.55,66,93,5.66
251,Bethel,US,2021-05-29 19:13:49,41.3712,-73.414,50.09,87,90,1.99
252,Xuddur,SO,2021-05-29 19:17:20,4.1213,43.8894,77.29,64,91,14.12
253,Ipojuca,BR,2021-05-29 19:17:21,-8.3989,-35.0639,80.51,65,5,8.66
254,Kilindoni,TZ,2021-05-29 19:17:21,-7.9139,39.6668,78.19,74,0,10.87
255,Rocha,UY,2021-05-29 19:17:21,-34.4833,-54.3333,52.21,58,6,17.34
256,Belyy Yar,RU,2021-05-29 19:17:22,53.6039,91.3903,42.69,93,82,2.04
257,Katsuura,JP,2021-05-29 19:17:22,35.1333,140.3,68.14,92,99,12.15
258,Berlevag,NO,2021-05-29 19:17:22,70.8578,29.0864,39.67,85,99,11.48
259,Santa Cruz,BO,2021-05-29 19:17:22,-17.8,-63.1667,87.26,58,75,13.8
260,Buala,SB,2021-05-29 19:17:23,-8.145,159.5921,77.31,88,99,3.06
261,Mazara Del Vallo,IT,2021-05-29 19:17:23,37.6641,12.588,72.93,72,22,5.41
262,Romny,UA,2021-05-29 19:17:23,50.751,33.4747,54.86,88,64,11.3
263,Manta,EC,2021-05-29 19:17:24,-0.95,-80.7333,82.18,69,75,11.5
264,Fukue,JP,2021-05-29 19:17:24,32.6881,128.8419,67.12,68,100,3.11
265,Ponta Do Sol,PT,2021-05-29 19:17:24,32.6667,-17.1,70.12,57,34,4.81
266,Middelburg,ZA,2021-05-29 19:17:25,-25.7751,29.4648,53.44,24,0,2.82
267,Honningsvag,NO,2021-05-29 19:17:25,70.9821,25.9704,41.18,88,100,18.57
268,Kamiiso,JP,2021-05-29 19:17:25,41.8167,140.65,54.63,95,100,4.83
269,Dingle,PH,2021-05-29 19:13:08,10.9995,122.6711,77.83,91,96,2.17
270,Oranjestad,AW,2021-05-29 19:17:26,12.524,-70.027,85.95,66,75,20.71
271,Mezen,RU,2021-05-29 19:17:26,65.8522,44.24,33.19,95,100,13.53
272,Kristiinankaupunki,FI,2021-05-29 19:17:26,62.2743,21.376,45.14,73,79,5.77
273,Praya,CV,2021-05-29 19:15:23,14.9215,-23.5087,75.74,64,20,18.41
274,Lahij,YE,2021-05-29 19:17:27,13.1667,44.5833,90.72,30,100,4.7
275,San Cristobal,VE,2021-05-29 19:17:27,7.7669,-72.225,71.78,75,65,3.89
276,Altay,CN,2021-05-29 19:17:27,47.8667,88.1167,57.24,45,1,4.23
277,Airai,TL,2021-05-29 19:17:28,-8.9266,125.4092,55.76,91,73,1.99
278,Mokrous,RU,2021-05-29 19:17:28,51.2333,47.5167,62.64,93,99,4.83
279,Avera,US,2021-05-29 19:17:28,33.194,-82.5271,87.91,31,38,15.3
