City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
531,Aasiaat,GL,68.7098,-52.8699,32.58,89,100,5.28,overcast clouds
532,Salta,AR,-24.7859,-65.4117,65.05,39,0,2.75,clear sky
533,Sotnikovo,RU,51.8845,107.4791,39.29,56,20,4.47,few clouds
534,Aripuana,BR,-9.1667,-60.6333,90.21,41,83,3.24,broken clouds
535,Gavrilovka Vtoraya,RU,52.877,42.7663,50.47,84,100,8.57,overcast clouds
536,Cabra,ES,37.4725,-4.4421,90.7,33,78,8.41,broken clouds
537,Kieta,PG,-6.2167,155.6333,78.85,86,99,4.63,light rain
538,Drummondville,CA,45.8834,-72.4824,55.15,83,100,6.69,overcast clouds
539,Fethiye,TR,36.6217,29.1164,75.07,55,0,6.67,clear sky
540,Niagara Falls,CA,43.1001,-79.0663,68.72,46,40,7.61,scattered clouds
541,Urk,NL,52.6625,5.6014,75.09,58,0,8.34,clear sky
542,Coquimbo,CL,-29.9533,-71.3436,66.36,58,5,7.18,clear sky
543,Guna,IN,24.65,77.3167,99.03,18,35,9.91,scattered clouds
544,Asau,RO,46.4333,26.4,60.28,71,100,5.12,overcast clouds
545,Leningradskiy,RU,69.3833,178.4167,28.38,96,84,11.07,broken clouds
546,Atbasar,KZ,51.8,68.3333,71.85,62,44,13.33,scattered clouds
547,Evensk,RU,61.95,159.2333,40.05,82,97,6.96,overcast clouds
548,Mandalgovi,MN,45.7625,106.2708,43.7,30,48,9.69,scattered clouds
549,Faxinal,BR,-24.0003,-51.3194,62.91,92,100,3.44,overcast clouds
550,Luanda,AO,-8.8368,13.2343,82.4,69,0,9.22,clear sky
551,Staryy Nadym,RU,65.6118,72.6842,49.82,36,83,10.58,broken clouds
552,Makaha,US,21.4694,-158.2175,72.66,73,72,4.29,broken clouds
553,Honiara,SB,-9.4333,159.95,77.59,90,100,4.52,overcast clouds
554,Kawambwa,ZM,-9.7915,29.0791,73.76,46,13,1.72,few clouds
555,Kangaba,ML,11.9333,-8.4167,103.37,24,89,1.39,overcast clouds
556,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.14,78,94,4.03,overcast clouds
557,Sergeyevka,KZ,53.88,67.4158,68.65,76,84,8.77,broken clouds
558,Klaksvik,FO,62.2266,-6.589,56.32,95,81,14.5,broken clouds
559,Pasni,PK,25.2631,63.471,87.26,72,0,17.72,clear sky
560,Port Lincoln,AU,-34.7333,135.8667,59.04,44,100,5.64,overcast clouds
561,Muisne,EC,0.6,-80.0333,77.32,86,100,7.76,overcast clouds
562,Tomatlan,MX,19.9333,-105.25,85.84,31,100,1.5,overcast clouds
563,Menongue,AO,-14.6585,17.691,81.41,13,1,5.06,clear sky
564,Inirida,CO,3.8653,-67.9239,83.14,78,90,1.63,overcast clouds
565,Awbari,LY,26.5921,12.7805,102.97,9,5,11.21,clear sky
566,Halifax,CA,44.6453,-63.5724,53.69,97,90,4.0,light intensity drizzle
567,Progreso,MX,21.2833,-89.6667,83.25,66,8,8.75,clear sky
568,Solana Beach,US,32.9912,-117.2711,65.59,84,72,1.99,broken clouds
569,Shemursha,RU,54.8866,47.5189,47.07,73,100,8.52,overcast clouds
570,Agadez,NE,19.75,10.25,105.33,5,67,8.66,broken clouds
571,Dabat,ET,12.9842,37.765,76.37,16,92,3.06,overcast clouds
572,Asyut,EG,27.181,31.1837,109.4,8,0,14.5,clear sky
573,Khanpur,PK,28.6453,70.6567,106.86,12,4,14.07,clear sky
574,Trinidad,BO,-14.8333,-64.9,75.81,47,100,5.84,moderate rain
575,Hokitika,NZ,-42.7167,170.9667,47.1,84,9,5.19,clear sky
576,Vic,ES,41.9301,2.2549,77.88,62,100,1.99,overcast clouds
